"SITE ",URL,RSS URL,TOPIC
THE LUNDUKE SHOW,http://www.lunduke.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCkK9UDm_ZNrq_rIXCz3xCGA,Linux News
LEARN LINUX,https://www.learnlinux.tv,https://www.youtube.com/feeds/videos.xml?user=JtheLinuxguy,Linux Tutorials
TheRibalinux,http://www.ghostbsd.org,https://www.youtube.com/feeds/videos.xml?user=TheRibalinux,Linux and BSD News
TutoriaLinux,https://tutorialinux.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCvA_wgsX6eFAOXI8Rbg_WiQ,Linux Tutorials
Linux Game Cast Weekly,https://linuxgamecast.com,https://www.youtube.com//feeds/videos.xml?channel_id=UC9F5SkQPgG1besItGOVkz0A,Linux Gaming
The Linux Gamer,https://www.youtube.com/user/tuxreviews,https://www.youtube.com/feeds/videos.xml?channel_id=UCv1Kcz-CuGM6mxzL3B1_Eiw,Linux Games
Docker,https://blog.docker.com,https://www.youtube.com/feeds/videos.xml?channel_id=UC76AVf2JkrwjxNKMuPpscHQ,Docker Live Stream
Distrotube,https://www.youtube.com/channel/UCVls1GmFKf6WlTraIb_IaJg,https://www.youtube.com/feeds/videos.xml?channel_id=UCVls1GmFKf6WlTraIb_IaJg,Linux News
Old Tech Bloke,https://www.youtube.com/channel/UCCIHOP7e271SIumQgyl6XBQ,https://www.youtube.com/feeds/videos.xml?channel_id=UCCIHOP7e271SIumQgyl6XBQ,Linux News
Level 1 Linux,https://level1techs.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCOWcZ6Wicl-1N34H0zZe38w,Linux news
Quidsup,https://quidsup.net,https://www.youtube.com/feeds/videos.xml?channel_id=UC0A3ldncnGQ1M_RU2Wb4L2A,Linux news
KeepItTechie,http://keepittechie.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCP2bshADPrVMoNrdJvZEQzw,Linux news
Joe Collins,https://www.ezeelinux.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCTfabOKD7Yty6sDF4POBVqA,Linux News
Red Robbos Workshop,https://www.youtube.com/channel/UCI-FgEdZQxBASsm3HNcWKxQ,https://www.youtube.com/feeds/videos.xml?channel_id=UCI-FgEdZQxBASsm3HNcWKxQ,Linux News
Nicholas Bernstein,https://www.youtube.com/channel/UCTd7Cqj-oAEONRcG53Pg0ew,https://www.youtube.com/feeds/videos.xml?channel_id=UCTd7Cqj-oAEONRcG53Pg0ew,Linux News
PC TLC,https://cbrash9.wixsite.com/pctlc,https://www.youtube.com/feeds/videos.xml?channel_id=UCuzckNxsLhiaPZnG03UjRbA,Linux news
Sudo Reboot,https://www.youtube.com/channel/UC-x4oXG1CJPrhMiARkW9b3A,https://www.youtube.com/feeds/videos.xml?channel_id=UC-x4oXG1CJPrhMiARkW9b3A,Linux News
Destination Linux,https://destinationlinux.org,https://www.youtube.com/feeds/videos.xml?channel_id=UCWJUSpXVHTaHErtGWC5qPlQ,Linux News
Big Daddy Linux,https://bigdaddylinux.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCtZRKfyvx7GUEi-Lr7f4Nxg,Linux News
Chris Titus Tech,https://www.christitus.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCg6gPGh8HU2U01vaFCAsvmQ,Linux News & Tutorials
The Urban Penguin,https://www.theurbanpenguin.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCFFLP0dKesrKWccYscdAr9A,Linux News
